bit,LL_ptr
10442,74524
20069,103405
26396,122386
32042,139324
32824,141670
1881,24441
3491,45371
6806,63616
10802,75604
12841,81721
31230,136888
32402,140404
35005,148213
1725,22413
2232,29004
2644,34360
4312,56044
11162,76684
32762,141484
36306,152116
42403,170407
509,6605
2120,27548
2746,35687
4088,53132
11522,77764
26535,122803
29155,130663
33122,142564
584,7580
3480,45228
3778,49102
9624,72070
11882,78844
33482,143644
37601,156001
40846,165736
1152,14964
2687,34919
12242,79924
18951,100051
20541,104821
23584,113950
24930,117988
33842,144724
984,12780
4116,53496
8634,69100
9581,71941
12602,81004
24684,117250
34202,145804
38926,159976
1350,17538
1961,25481
6999,64195
12962,82084
18650,99148
25576,119926
33014,142240
34562,146884
742,9634
1113,14457
3473,45137
7231,64891
13322,83164
34922,147964
35383,149347
35654,150160
1559,20255
3463,45007
7790,66568
11584,77950
13682,84244
33121,142562
35282,149044
36929,153985
208,2692
3990,51858
10537,74809
13343,83227
14042,85324
33500,143698
35642,150124
40272,164014
557,7229
2813,36557
8017,67249
14402,86404
19370,101308
34296,146086
36002,151204
42710,171328
938,12182
2620,34048
8861,69782
14762,87484
16864,93790
23250,112948
31505,137713
36362,152284
1898,24662
3626,47126
5578,59932
15122,88564
17425,95473
23142,112624
27117,124549
36722,153364
2498,32462
3550,46138
9909,72925
12131,79591
15482,89644
34751,147451
37082,154444
39328,161182
619,8035
1458,18942
9083,70447
15842,90724
21260,106978
32613,141037
33781,144541
37442,155524
2287,29719
3781,49141
13174,82720
14800,87598
16202,91804
27672,126214
30402,134404
37802,156604
149,1925
2922,37974
5421,59461
14797,87589
16562,92884
21659,108175
22185,109753
38162,157684
2269,29485
2458,31942
4882,57844
16922,93964
18178,97732
21676,108226
38522,158764
41179,166735
14,170
1776,23076
6817,63649
16439,92515
17282,95044
33297,143089
38882,159844
41845,168733
1147,14899
2111,27431
3851,50051
7853,66757
17642,96124
27128,124582
39242,160924
43143,172627
900,11688
3076,39976
8862,69784
11481,77641
18002,97204
39602,162004
40366,164296
42959,172075
188,2432
2082,27054
2421,31461
3610,46918
18362,98284
26693,123277
39962,163084
42114,169540
1134,14730
3074,39950
14557,86869
18408,98422
18722,99364
34368,146302
36388,152362
40322,164164
2399,31175
3689,47945
5158,58672
15523,89767
19082,100444
22565,110893
37457,155569
40682,165244
3152,40964
3998,51962
6416,62446
17854,96760
19442,101524
25313,119137
29040,130318
41042,166324
1564,20320
3065,39833
7528,65782
11772,78514
19802,102604
38338,158212
41402,167404
42748,171442
840,10908
3591,46671
16655,93163
20162,103684
21516,107746
36292,152074
39544,161830
41762,168484
1185,15393
3891,50571
15659,90175
17916,96946
20522,104764
22819,111655
30075,133423
42122,169564
1752,22764
2000,25988
2911,37831
19018,100252
20882,105844
24326,116176
32361,140281
42482,170644
426,5526
1370,17798
1792,23284
2997,38949
21242,106924
36436,152506
39939,163015
42842,171724
3,27
359,4655
4087,53120
4453,56557
14119,85555
21603,108007
28571,128911
28638,129112
363,4707
1254,16290
2572,33424
4447,56539
6258,61972
21963,109087
40262,163984
40381,164341
723,9387
3092,40184
4251,55251
14085,85453
16932,93994
22323,110167
30891,135871
42371,170311
415,5383
1083,14067
1340,17408
2294,29810
6104,61510
22683,111247
38256,157966
41103,166507
626,8126
882,11454
1443,18747
10824,75670
21212,106834
23043,112327
26017,121249
28409,128425
1803,23427
1851,24051
2791,36271
3445,44773
20719,105355
22632,111094
23403,113407
23930,114988
226,2926
2163,28107
2515,32683
3030,39378
12867,81799
23763,114487
25183,118747
30081,133441
317,4109
499,6475
2523,32787
2539,32995
5136,58606
24123,115567
31920,138958
35717,150349
2883,37467
3957,51429
4113,53457
4994,58180
11280,77038
24483,116647
38799,159595
39694,162280
1475,19163
1957,25429
2707,35179
3243,42147
15379,89335
24843,117727
34177,145729
37136,154606
2316,30096
2748,35712
3603,46827
13975,85123
15166,88696
25203,118807
30830,135688
34078,145432
964,12520
2430,31578
3180,41328
3963,51508
11919,78955
25563,119887
29781,132541
35280,149038
1277,16589
3266,42446
4323,56167
16007,91219
20483,104647
22739,111415
25923,120967
37302,155104
52,664
616,7996
4256,55316
4683,57247
14426,86476
23594,113980
26283,122047
27719,126355
870,11298
1505,19553
5043,58327
8433,68497
9810,72628
26643,123127
28062,127384
29793,132577
1009,13105
3948,51312
5403,59407
9070,70408
20235,103903
25767,120499
27003,124207
38590,158968
1201,15601
3737,48569
5763,60487
6844,63730
12595,80983
27363,125287
31063,136387
36999,154195
784,10180
2130,27678
2331,30291
6123,61567
12533,80797
27723,126367
28197,127789
39163,160687
1910,24818
3328,43252
6483,62647
10692,75274
13946,85036
23972,115114
28083,127447
31698,138292
187,2420
3270,42498
6843,63728
17087,94459
18308,98122
24394,116380
28443,128527
30512,134734
638,8282
2135,27743
5973,61117
7203,64807
15874,90820
22167,109699
28803,129607
32720,141358
2576,33476
2681,34841
7563,65887
10327,74179
13148,82642
29163,130687
29358,131272
31424,137470
1307,16979
3082,40054
7923,66967
17482,95644
20077,103429
25545,119833
26870,123808
29523,131767
96,1236
1701,22101
4153,53977
8283,68047
19344,101230
29883,132847
41675,168223
41712,168334
983,12768
2989,38845
3965,51533
8643,69127
16236,91906
24693,117277
30243,133927
32090,139468
229,2965
493,6397
3278,42602
9003,70207
13485,83653
30603,135007
35332,149194
37891,156871
355,4603
1715,22283
9363,71287
19608,102022
19681,102241
27762,126484
29220,130858
30963,136087
437,5669
1525,19813
9723,72367
10947,76039
21132,106594
26183,121747
31323,137167
34771,147511
773,10037
3887,50519
3905,50753
8116,67546
10083,73447
31683,138247
37951,157051
40894,165880
3450,44838
4186,54406
10320,74158
10443,74527
20070,103408
26397,122389
32043,139327
32825,141673
1882,24454
3492,45384
6807,63619
10803,75607
12842,81724
31231,136891
32403,140407
35006,148216
1726,22426
2233,29017
2645,34373
4313,56057
11163,76687
32763,141487
36307,152119
42404,170410
510,6618
2121,27561
2747,35700
4089,53145
11523,77767
26536,122806
29156,130666
33123,142567
585,7593
3481,45241
3779,49115
9625,72073
11883,78847
33483,143647
37602,156004
40847,165739
1153,14977
2688,34932
12243,79927
18952,100054
20542,104824
23585,113953
24931,117991
33843,144727
985,12793
4117,53509
8635,69103
9582,71944
12603,81007
24685,117253
34203,145807
38927,159979
1351,17551
1962,25494
7000,64198
12963,82087
18651,99151
25577,119929
33015,142243
34563,146887
743,9647
1114,14470
3474,45150
7232,64894
13323,83167
34923,147967
35384,149350
35655,150163
1560,20268
3464,45020
7791,66571
11585,77953
13683,84247
33122,142565
35283,149047
36930,153988
209,2705
3991,51871
10538,74812
13344,83230
14043,85327
33501,143701
35643,150127
40273,164017
558,7242
2814,36570
8018,67252
14403,86407
19371,101311
34297,146089
36003,151207
42711,171331
939,12195
2621,34061
8862,69785
14763,87487
16865,93793
23251,112951
31506,137716
36363,152287
1899,24675
3627,47139
5579,59935
15123,88567
17426,95476
23143,112627
27118,124552
36723,153367
2499,32475
3551,46151
9910,72928
12132,79594
15483,89647
34752,147454
37083,154447
39329,161185
620,8048
1459,18955
9084,70450
15843,90727
21261,106981
32614,141040
33782,144544
37443,155527
2288,29732
3782,49154
13175,82723
14801,87601
16203,91807
27673,126217
30403,134407
37803,156607
150,1938
2923,37987
5422,59464
14798,87592
16563,92887
21660,108178
22186,109756
38163,157687
2270,29498
2459,31955
4883,57847
16923,93967
18179,97735
21677,108229
38523,158767
41180,166738
15,183
1777,23089
6818,63652
16440,92518
17283,95047
33298,143092
38883,159847
41846,168736
1148,14912
2112,27444
3852,50064
7854,66760
17643,96127
27129,124585
39243,160927
43144,172630
901,11701
3077,39989
8863,69787
11482,77644
18003,97207
39603,162007
40367,164299
42960,172078
189,2445
2083,27067
2422,31474
3611,46931
18363,98287
26694,123280
39963,163087
42115,169543
1135,14743
3075,39964
14558,86872
18409,98425
18723,99367
34369,146305
36389,152365
40323,164167
2400,31188
3690,47958
5159,58675
15524,89770
19083,100447
22566,110896
37458,155572
40683,165247
3153,40977
3999,51975
6417,62449
17855,96763
19443,101527
25314,119140
29041,130321
41043,166327
1565,20333
3066,39846
7529,65785
11773,78517
19803,102607
38339,158215
41403,167407
42749,171445
841,10921
3592,46684
16656,93166
20163,103687
21517,107749
36293,152077
39545,161833
41763,168487
1186,15406
3892,50584
15660,90178
17917,96949
20523,104767
22820,111658
30076,133426
42123,169567
1753,22777
2001,26001
2912,37844
19019,100255
20883,105847
24327,116179
32362,140284
42483,170647
427,5539
1371,17811
1793,23297
2998,38962
21243,106927
36437,152509
39940,163018
42843,171727
4,40
360,4668
4088,53133
4454,56560
14120,85558
21604,108010
28572,128914
28639,129115
364,4720
1255,16303
2573,33437
4448,56542
6259,61975
21964,109090
40263,163987
40382,164344
724,9400
3093,40197
4252,55264
14086,85456
16933,93997
22324,110170
30892,135874
42372,170314
416,5396
1084,14080
1341,17421
2295,29823
6105,61513
22684,111250
38257,157969
41104,166510
627,8139
883,11467
1444,18760
10825,75673
21213,106837
23044,112330
26018,121252
28410,128428
1804,23440
1852,24064
2792,36284
3446,44786
20720,105358
22633,111097
23404,113410
23931,114991
227,2940
2164,28120
2516,32696
3031,39391
12868,81802
23764,114490
25184,118750
30082,133444
318,4122
500,6488
2524,32800
2540,33008
5137,58609
24124,115570
31921,138961
35718,150352
2884,37480
3958,51442
4114,53470
4995,58183
11281,77041
24484,116650
38800,159598
39695,162283
1476,19176
1958,25442
2708,35192
3244,42160
15380,89338
24844,117730
34178,145732
37137,154609
2317,30109
2749,35725
3604,46840
13976,85126
15167,88699
25204,118810
30831,135691
34079,145435
965,12533
2431,31591
3181,41341
3964,51521
11920,78958
25564,119890
29782,132544
34921,147962
1278,16602
3267,42459
4324,56170
16008,91222
20484,104650
22740,111418
25924,120970
37303,155107
53,677
617,8009
4257,55329
4684,57250
14427,86479
23595,113983
26284,122050
27720,126358
871,11311
1506,19566
5044,58330
8434,68500
9811,72631
26644,123130
28063,127387
29794,132580
1010,13118
3949,51325
5404,59410
9071,70411
20236,103906
25768,120502
27004,124210
38591,158971
1202,15614
3738,48582
5764,60490
6845,63733
12596,80986
27364,125290
31064,136390
37000,154198
785,10193
2131,27691
2332,30304
6124,61570
12534,80800
27724,126370
28198,127792
39164,160690
1911,24831
3329,43265
6484,62650
10693,75277
13947,85039
23973,115117
28084,127450
31699,138295
188,2433
3271,42511
6844,63731
17088,94462
18309,98125
24395,116383
28444,128530
30513,134737
639,8295
2136,27756
5974,61120
7204,64810
15875,90823
22168,109702
28804,129610
32721,141361
2577,33489
2682,34854
7564,65890
10328,74182
13149,82645
29164,130690
29359,131275
31425,137473
1308,16992
3083,40067
7924,66970
17483,95647
20078,103432
25546,119836
26871,123811
29524,131770
97,1249
1702,22114
4154,53990
8284,68050
19345,101233
29884,132850
41676,168226
41713,168337
984,12781
2990,38858
3966,51546
8644,69130
16237,91909
24694,117280
30244,133930
32091,139471
230,2978
494,6410
3279,42615
9004,70210
13486,83656
30604,135010
35333,149197
37892,156874
356,4616
1716,22296
9364,71290
19609,102025
19682,102244
27763,126487
29221,130861
30964,136090
438,5682
1526,19826
9724,72370
10948,76042
21133,106597
26184,121750
31324,137170
34772,147514
774,10050
3888,50532
3906,50766
8117,67549
10084,73450
31684,138250
37952,157054
40895,165883
3451,44851
4187,54419
10321,74161
10444,74530
20071,103411
26398,122392
32044,139330
32826,141676
1883,24467
3493,45397
6808,63622
10804,75610
12843,81727
31232,136894
32404,140410
35007,148219
1727,22439
2234,29030
2646,34386
4314,56070
11164,76690
32764,141490
36308,152122
42405,170413
511,6631
2122,27574
2748,35713
4090,53158
11524,77770
26537,122809
29157,130669
33124,142570
586,7606
3482,45254
3780,49129
9626,72076
11884,78850
33484,143650
37603,156007
40848,165742
1154,14990
2689,34945
12244,79930
18953,100057
20543,104827
23586,113956
24932,117994
33844,144730
986,12806
4118,53522
8636,69106
9583,71947
12604,81010
24686,117256
34204,145810
38928,159982
1352,17564
1963,25507
7001,64201
12964,82090
18652,99154
25578,119932
33016,142246
34564,146890
744,9660
1115,14483
3475,45163
7233,64897
13324,83170
34924,147970
35385,149353
35656,150166
1561,20281
3465,45033
7792,66574
11586,77956
13684,84250
33123,142568
35284,149050
36931,153991
210,2718
3992,51884
10539,74815
13345,83233
14044,85330
33502,143704
35644,150130
40274,164020
559,7255
2815,36583
8019,67255
14404,86410
19372,101314
34298,146092
36004,151210
42712,171334
940,12208
2622,34074
8863,69788
14764,87490
16866,93796
23252,112954
31507,137719
36364,152290
1900,24688
3628,47152
5580,59938
15124,88570
17427,95479
23144,112630
27119,124555
36724,153370
2500,32488
3552,46164
9911,72931
12133,79597
15484,89650
34753,147457
37084,154450
39330,161188
621,8061
1460,18968
9085,70453
15844,90730
21262,106984
32615,141043
33783,144547
37444,155530
2289,29745
3783,49167
13176,82726
14802,87604
16204,91810
27674,126220
30404,134410
37804,156610
151,1951
2924,38000
5423,59467
14799,87596
16564,92890
21661,108181
22187,109759
38164,157690
2271,29511
2460,31968
4884,57850
16924,93970
18180,97738
21678,108232
38524,158770
41181,166741
16,196
1778,23102
6819,63655
16441,92521
17284,95050
33299,143095
38884,159850
41847,168739
1149,14925
2113,27457
3853,50077
7855,66763
17644,96130
27130,124588
39244,160930
43145,172633
902,11714
3078,40002
8864,69790
11483,77647
18004,97210
39604,162010
40368,164302
42961,172081
190,2458
2084,27080
2423,31487
3612,46944
18364,98290
26695,123283
39964,163090
42116,169546
1136,14756
3076,39977
14559,86875
18410,98428
18724,99370
34370,146308
36390,152368
40324,164170
2401,31201
3691,47971
5160,58678
15525,89773
19084,100450
22567,110899
37459,155575
40684,165250
3154,40990
4000,51988
6418,62452
17856,96766
19444,101530
25315,119143
29042,130324
41044,166330
1566,20346
3067,39859
7530,65788
11774,78520
19804,102610
38340,158218
41404,167410
42750,171448
842,10934
3593,46697
16657,93169
20164,103690
21518,107752
36294,152080
39546,161836
41764,168490
1187,15419
3893,50597
15661,90181
17918,96952
20524,104770
22821,111661
30077,133429
42124,169570
1754,22790
2002,26014
2913,37857
19020,100258
20884,105850
24328,116182
32363,140287
42484,170650
428,5552
1372,17824
1794,23310
2999,38975
21244,106930
36438,152512
39941,163021
42844,171730
1,2
5,53
4089,53146
4455,56563
14121,85561
21605,108013
28573,128917
28640,129118
365,4733
1256,16316
2574,33451
4449,56545
6260,61978
21965,109093
40264,163990
40383,164347
725,9413
3094,40210
4253,55277
14087,85459
16934,94000
22325,110173
30893,135877
42373,170317
417,5409
1085,14093
1342,17434
2296,29836
6106,61516
22685,111253
38258,157972
41105,166513
628,8152
884,11480
1445,18773
10826,75676
21214,106840
23045,112333
26019,121255
28411,128431
1805,23453
1853,24077
2793,36297
3447,44799
20721,105361
22634,111100
23405,113413
23932,114994
228,2953
2165,28133
2517,32709
3032,39404
12869,81805
23765,114493
25185,118753
30083,133447
319,4135
501,6501
2525,32813
2541,33021
5138,58612
24125,115573
31922,138964
35719,150355
2885,37493
3959,51455
4115,53484
4996,58186
11282,77044
24485,116653
38801,159601
39696,162286
1477,19189
1959,25455
2709,35205
3245,42173
15381,89341
24845,117733
34179,145735
37138,154612
2318,30122
2750,35738
3605,46853
13977,85129
15168,88702
25205,118813
30832,135694
34080,145438
966,12546
2432,31604
3182,41354
3965,51534
11921,78961
25565,119893
29783,132547
34922,147965
1279,16615
3268,42473
4325,56173
16009,91225
20485,104653
22741,111421
25925,120973
37304,155110
54,690
618,8023
4258,55342
4685,57253
14428,86482
23596,113986
26285,122053
27361,125282
872,11324
1507,19579
5045,58333
8435,68503
9812,72634
26645,123133
28064,127390
29795,132583
1011,13131
3950,51338
5405,59413
9072,70414
20237,103909
25769,120505
27005,124213
38592,158974
1203,15627
3739,48595
5765,60493
6846,63736
12597,80989
27365,125293
31065,136393
37001,154201
786,10206
2132,27704
2333,30317
6125,61573
12535,80803
27725,126373
28199,127795
39165,160693
1912,24844
3330,43278
6485,62653
10694,75280
13948,85042
23974,115120
28085,127453
31700,138298
189,2446
3272,42524
6845,63734
17089,94465
18310,98128
24396,116386
28445,128533
30514,134740
640,8308
2137,27769
5975,61123
7205,64813
15876,90826
22169,109705
28805,129613
32722,141364
2578,33502
2683,34867
7565,65893
10329,74185
13150,82648
29165,130693
29360,131278
31426,137476
1309,17005
3084,40080
7925,66973
17484,95650
20079,103435
25547,119839
26872,123814
29525,131773
98,1262
1703,22127
4155,54003
8285,68053
19346,101236
29885,132853
41677,168229
41714,168340
985,12794
2991,38871
3967,51559
8645,69133
16238,91912
24695,117283
30245,133933
32092,139474
231,2991
495,6423
3280,42628
9005,70213
13487,83659
30605,135013
35334,149200
37893,156877
357,4630
1717,22309
9365,71293
19610,102028
19683,102247
27764,126490
29222,130864
30965,136093
439,5695
1527,19839
9725,72373
10949,76045
21134,106600
26185,121753
31325,137173
34773,147517
775,10063
3889,50545
3907,50779
8118,67552
10085,73453
31685,138253
37953,157057
40896,165886
3452,44864
4188,54432
10322,74164
10445,74533
20072,103414
26399,122395
32045,139333
32827,141679
1884,24480
